no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
206,Chainpur,chainpur,Kaimur,,34,Sasaram,Brij Kishor Bind,BJP,46510,Ajay Alok,BSP,32930,13580,Brij Kishor Bind,BJP,"58,913",Mohammad Zama Khan,BSP,"58,242",671,Mohd Zama Khan,BSP,"95,245",Brij Kishor Bind,BJP,"70,951","24,294",,,,,,,,Mohd Zama Khan,JD(U),NDA,Switched from BSP to JD(U)[19],True,False
207,Chenari,chenari-sc,Rohtas,SC,34,Sasaram,Shyam Bihari Ram,JD(U),44586,Lalan Paswan,RJD,41685,2901,Lalan Paswan,RLSP,"68,148",Mangal Ram,INC,"58,367","9,781",Murari Prasad Gautam,INC,"71,701",Lalan Paswan,JD(U),"53,698","18,003",,,,,,,,Murari Prasad Gautam,BJP,NDA,Switched from INC to BJP,True,False
208,Sasaram,sasaram,Rohtas,,34,Sasaram,Jawahar Prasad,BJP,50856,Ashok Kumar,RJD,45445,5411,Ashok Kumar,RJD,"82,766",Jawahar Prasad,BJP,"63,154","19,612",Rajesh Kumar Gupta,RJD,"83,303",Ashok Kumar,JD(U),"56,880","26,423",,,,,,,,Rajesh Kumar Gupta,RJD,MGB,,False,False
209,Kargahar,kargahar,Rohtas,,34,Sasaram,Ram Dhani Singh,JD(U),54190,Shiv Shankar Singh,LJP,40993,13197,Bashisht Singh,JD(U),"57,018",Birendra Kumar Singh,RLSP,"44,111","12,907",Santosh Kumar Mishra,INC,"47,321",Uday Pratap Singh,JD(U),"55,680","4,083",,,,,,,,Santhosh Kumar Mishra,INC,MGB,,False,True
210,Dinara,dinara,Rohtas,,33,Buxar,Jai Kumar Singh,JD(U),47176,Sita Sundari Devi,RJD,30566,16610,Jai Kumar Singh,JD(U),"64,699",Rajendra Prasad Singh,BJP,"62,008","2,691",Vijay Mandal,RJD,"59,541",Rajendra Prasad Singh,LJP,"51,313","8,228",,,,,,,,Vijay Yadav,RJD,MGB,,False,True
211,Nokha,nokha,Rohtas,,35,Karakat,Rameshwar Chaurasiya,BJP,39020,Kanti Singh,RJD,27297,11723,Anita Devi,RJD,"72,780",Rameshwar Chaurasiya,BJP,"49,782","22,998",Anita Devi,RJD,"65,690",Nagendra Chandrawansi,JD(U),"48,018","17,672",,,,,,,,Anita Devi,RJD,MGB,,False,False
212,Dehri,dehri,Rohtas,,35,Karakat,Jyoti Rashmi,IND,43634,Mohammad Iliyas Hussain,RJD,33819,9815,Mohammad Iliyas Hussain,RJD,"49,402",Jitendra Kumar,RLSP,"45,504","3,898",Fateh Bahadur Kushwaha,RJD,"64,567",Satyanarayan Yadav,BJP,"64,103",464,,,,,,,,Fateh Bahadur Singh,RJD,MGB,,False,True
213,Karakat,karakat,Rohtas,,35,Karakat,Rajeshwar Raj,JD(U),49751,Munna Rai,RJD,38336,11415,Sanjay Kumar Singh,RJD,"59,720",Rajeshwar Raj,BJP,"47,601","12,119",Arun Kushwaha,CPI(ML)L,"82,700",Rajeshwar Raj,BJP,"64,511","18,189",,,,,,,,Arun Singh,CPI(ML)L,MGB,,False,True
214,Arwal,arwal,Arwal,,36,Jahanabad,Chitranjan Kumar,BJP,23984,Mahanand Prasad,CPI(ML)L,19782,4202,Ravindra Singh,RJD,"55,295",Chitranjan Kumar,BJP,"37,485","17,810",Maha Nand Singh,CPI(ML)L,"68,286",Dipak Kumar Sharma,BJP,"48,336","19,950",,,,,,,,Maha Nand Singh,CPI(ML)L,MGB,,False,False
215,Kurtha,kurtha,Arwal,,36,Jahanabad,Satyadeo Singh,JD(U),37633,Shiv Bachan Yadav,RJD,28140,9493,Satyadeo Singh,JD(U),"43,676",Ashok Kumar Verma,RLSP,"29,557","14,119",Bagi Kumar Verma,RJD,"54,227",Satyadev Kushwaha,JD(U),"26,417","27,810",,,,,,,,Bagi Kumar Verma,RJD,MGB,,False,False
216,Jehanabad,jehanabad,Jehanabad,,36,Jahanabad,Abhiram Sharma,JD(U),35508,Sachchita Nand Yadav,RJD,26941,8567,Mudrika Singh Yadav,RJD,"76,458",Praveen Kumar,RLSP,"46,137","30,321",Suday Yadav,RJD,"75,030",Krishannandan Prasad Verma,JD(U),"41,128","33,902",,,,,,,,Suday Yadav,RJD,MGB,,False,False
217,Ghosi,ghosi,Jehanabad,,36,Jahanabad,Rahul Kumar,JD(U),40364,Jagdish Prasad,LJP,26088,14276,Krishna Nandan Prasad Verma,JD(U),"67,248",Rahul Kumar,HAM(S),"45,623","21,625",Ram Bali Singh Yadav,CPI(ML)L,"74,712",Rahul Kumar,JD(U),"57,379","17,333",,,,,,,,Ram Bali Singh Yadav,CPI(ML)L,MGB,,False,False
218,Makhdumpur,makhdumpur-sc,Jehanabad,SC,36,Jahanabad,Jitan Ram Manjhi,JD(U),38463,Dharmraj Paswan,RJD,33378,5085,Subedar Das,RJD,"66,631",Jitan Ram Manjhi,HAM(S),"39,854","26,777",Satish Kumar,RJD,"71,571",Devendra Kumar,HAM(S),"49,006","22,565",,,,,,,,Satish Kumar,RJD,MGB,,False,False
219,Goh,goh,Aurangabad,,35,Karakat,Ranvijay Kumar,JD(U),47378,Ram Ayodhya Prasad Yadav,RJD,46684,694,Manoj Kumar,BJP,"53,615",Ranvijay Kumar,JD(U),"45,943","7,672",Bheem Kumar Yadav,RJD,"81,410",Manoj Kumar Sharma,BJP,"45,792","35,618",,,,,,,,Bhim Kumar Singh,RJD,MGB,,False,True
220,Obra,obra,Aurangabad,,35,Karakat,Somprakash Singh,IND,36816,Pramod Singh Chadravanshi,JD(U),36014,802,Birendra Kumar Sinha,RJD,"56,042",Chandra Bhushan Verma,RLSP,"44,646","11,396",Rishi Kumar,RJD,"63,662",Prakash Chandra,LJP,"40,994","22,668",,,,,,,,Rishi Yadav,RJD,MGB,,False,True
221,Nabinagar,nabinagar,Aurangabad,,35,Karakat,Virendra Kumar Singh,JD(U),36860,Vijay Kumar Singh,LJP,25026,11834,Virendra Kumar Singh,JD(U),"42,035",Gopal Narayan Singh,BJP,"36,774","5,261",Vijay Kumar Singh,RJD,"64,943",Virendra Kumar Singh,JD(U),"44,822","20,121",,,,,,,,Vijay Kumar Singh,RJD,MGB,,False,False
222,Kutumba,kutumba-sc,Aurangabad,SC,37,Aurangabad,Lalan Ram,JD(U),42559,Suresh Paswan,RJD,28649,13910,Rajesh Kumar,INC,"51,303",Santosh Suman Manjhi,HAM(S),"41,205","10,098",Rajesh Kumar,INC,"50,822",Sharwan Bhuinya,HAM(S),"34,169","16,653",,,,,,,,Rajesh Kumar,INC,MGB,,False,False
223,Aurangabad,aurangabad,Aurangabad,,37,Aurangabad,Ramadhar Singh,BJP,41176,Sunil Kumar Singh,RJD,34934,6242,Anand Shankar Singh,INC,"63,637",Ramadhar Singh,BJP,"45,239","18,398",Anand Shankar Singh,INC,"70,018",Ramadhar Singh,BJP,"67,775","2,243",,,,,,,,Anand Shankar Singh,INC,MGB,,False,False
224,Rafiganj,rafiganj,Aurangabad,,37,Aurangabad,Ashok Kumar Singh,JD(U),58501,Mohammad Nehaluddin,RJD,34816,23685,Ashok Kumar Singh,JD(U),"62,897",Pramod Kumar Singh,LJP,"53,372","9,525",Mohammad Nehaluddin,RJD,"63,325",Pramod Kumar Singh,IND,"53,896","9,429",,,,,,,,MD Nehaluddin,RJD,MGB,,False,True
225,Gurua,gurua,Gaya,,37,Aurangabad,Surendra Prasad Sinha,BJP,46767,Bindeshwari Prasad Yadav,JD(U),35331,11436,Rajiv Nandan,BJP,"56,480",Ramchandra Prasad Singh,JD(U),"49,965","6,515",Vinay Yadav,RJD,"70,761",Rajiv Nandan Dangi,BJP,"64,162","6,599",,,,,,,,Vinay Yadav,RJD,MGB,,False,False
226,Sherghati,sherghati,Gaya,,38,Gaya,Vinod Prasad Yadav,JD(U),25447,Sushama Devi,IND,18944,6503,Vinod Prasad Yadav,JD(U),"44,579",Mukesh Kumar Yadav,HAM(S),"39,745","4,834",Manju Agrawal,RJD,"61,804",Vinod Prasad Yadav,JD(U),"45,114","16,690",,,,,,,,Manju Agrawal,RJD,MGB,,False,False
227,Imamganj,imamganj-sc,Gaya,SC,37,Aurangabad,Uday Narayan Choudhary,JD(U),44126,Raushan Kumar,RJD,42915,1211,Jitan Ram Manjhi,HAM(S),"79,389",Uday Narayan Choudhary,JD(U),"49,981","29,408",Jitan Ram Manjhi,HAM(S),"78,762",Uday Narayan Choudhary,RJD,"62,728","16,034",,,,,,,,Jitan Ram Manjhi,HAM(S),NDA,Deepa Manjhi		HAM(S)		NDA	Won in 2024 bypoll,False,False
228,Barachatti,barachatti-sc,Gaya,SC,38,Gaya,Jyoti Devi,JD(U),57550,Samta Devi,RJD,33804,23746,Samta Devi,RJD,"70,909",Sudha Devi,LJP,"51,783","19,126",Jyoti Devi,HAM(S),"72,491",Samta Devi,RJD,"66,173","6,318",,,,,,,,Jyoti Devi,HAM(S),NDA,,False,False
229,Bodh Gaya,bodh-gaya-sc,Gaya,SC,38,Gaya,Shyamdeo Paswan,BJP,54160,Kumar Sarvjeet,LJP,42947,11213,Kumar Sarvjeet,RJD,"82,656",Shyamdeo Paswan,BJP,"52,183","30,473",Kumar Sarvjeet,RJD,"80,926",Hari Manjhi,BJP,"76,218","4,708",,,,,,,,Kumar Sarvjeet,RJD,MGB,,False,False
230,Gaya Town,gaya-town,Gaya,,38,Gaya,Prem Kumar,BJP,55618,Jalal Uddin Ansari,CPI,27201,28417,Prem Kumar,BJP,"66,891",Priya Ranjan,INC,"44,102","22,789",Prem Kumar,BJP,"66,932",Akhauri Onkar Nath,INC,"55,034","11,898",,,,,,,,Prem Kumar,BJP,NDA,,False,False
231,Tikari,tikari,Gaya,,37,Aurangabad,Anil Kumar,JD(U),67706,Bagi Kumar Verma,RJD,49165,18541,Abhay Kumar Sinha,JD(U),"86,975",Anil Kumar,HAM(S),"55,162","31,813",Anil Kumar,HAM(S),"70,359",Sumant Kumar,INC,"67,729","2,630",,,,,,,,Anil Kumar,HAM(S),NDA,,False,False
232,Belaganj,belaganj,Gaya,,38,Gaya,Surendra Prasad Yadav,RJD,53079,Mohammad Amzad,JD(U),48441,4638,Surendra Prasad Yadav,RJD,"71,067",Sharim Ali,HAM(S),"40,726","30,341",Surendra Prasad Yadav,RJD,"79,708",Abhay Kushwaha,JD(U),"55,745","23,963",,,,,,,,Surendra Prasad Yadav,RJD,MGB,Manorama Devi		JD(U)		NDA	Won in 2024 bypoll,False,False
233,Atri,atri,Gaya,,36,Jahanabad,Krishna Nandan Yadav,JD(U),55633,Kunti Devi,RJD,35023,20610,Kunti Devi,RJD,"60,687",Arvind Kumar Singh,LJP,"46,870","13,817",Ajay Yadav,RJD,"62,658",Manorama Devi,JD(U),"54,727","7,931",,,,,,,,Ajay Kumar Yadav,RJD,MGB,,False,True
234,Wazirganj,wazirganj,Gaya,,38,Gaya,Birendra Singh,BJP,38893,Awadhesh Kumar Singh,INC,21127,17766,Awadhesh Kumar Singh,INC,"80,107",Birendra Singh,BJP,"67,348","12,759",Birendra Singh,BJP,"70,713",Shashi Shekhar Singh,INC,"48,283","22,430",,,,,,,,Birendra Singh,BJP,NDA,,False,False
235,Rajauli,rajauli-sc,Nawada,SC,39,Nawada,Kanhaiya Kumar,BJP,51020,Prakash Veer,RJD,36930,14090,Prakash Veer,RJD,"70,549",Arjun Ram,BJP,"65,934","4,615",Prakash Veer,RJD,"69,984",Kanhaiya Kumar,BJP,"57,391","12,593",,,,,,,,Prakash Veer,RJD,MGB,,False,False
236,Hisua,hisua,Nawada,,39,Nawada,Anil Singh,BJP,43110,Anil Mehta,LJP,39132,3978,Anil Singh,BJP,"82,493",Kaushal Yadav,JD(U),"70,254","12,239",Nitu Kumari,INC,"94,930",Anil Singh,BJP,"77,839","17,091",,,,,,,,Nitu Kumari,INC,MGB,,False,False
237,Nawada,nawada,Nawada,,39,Nawada,Purnima Yadav,JD(U),46568,Rajballabh Prasad,RJD,40231,6337,Rajballabh Prasad,RJD,"88,235",Indradeo Prasad,RLSP,"71,509","16,726",Vibha Devi Yadav,RJD,"72,345",Sharwan Kumar,IND,"46,125","26,220",,,,,,,,Vibha Devi Yadav,RJD,MGB,,False,False
238,Gobindpur,gobindpur,Nawada,,39,Nawada,Kaushal Yadav,JD(U),45589,K B Prasad,LJP,24702,20887,Purnima Yadav,INC,"43,016",Fula Devi,BJP,"38,617","4,399",Mohammed Kamran,RJD,"79,557",Purnima Yadav,JD(U),"46,483","33,074",,,,,,,,Md Kamran,RJD,MGB,,False,True
239,Warsaliganj,warsaliganj,Nawada,,39,Nawada,Pradip Kumar,JD(U),42381,Aruna Devi,INC,36953,5428,Aruna Devi,BJP,"85,912",Pradip Kumar,JD(U),"66,385","19,527",Aruna Devi,BJP,"62,451",Satish Kumar,INC,"53,421","9,030",,,,,,,,Aruna Devi,BJP,NDA,,False,False
240,Sikandra,sikandra-sc,Jamui,SC,40,Jamui,Rameshwar Paswan,JD(U),39829,Subhash Chandra Bosh,LJP,27468,12361,Sudhir Kumar,INC,"59,092",Subhash Chandra Bosh,LJP,"51,102","7,990",Prafull Kumar Manjhi,HAM(S),"47,061",Sudhir Kumar,INC,"41,556","5,505",,,,,,,,Prafull Kumar Manjhi,HAM(S),NDA,,False,False
241,Jamui,jamui,Jamui,,40,Jamui,Ajoy Pratap,JD(U),60130,Vijay Prakash Yadav,RJD,35663,24467,Vijay Prakash Yadav,RJD,"66,577",Ajoy Pratap,BJP,"58,328","8,249",Shreyasi Singh,BJP,"79,603",Vijay Prakash Yadav,RJD,"38,554","41,049",,,,,,,,Shreyasi Singh,BJP,NDA,,False,False
242,Jhajha,jhajha,Jamui,,40,Jamui,Damodar Rawat,JD(U),48080,Binod Prasad Yadav,RJD,37876,10204,Rabindra Yadav,BJP,"65,537",Damodar Rawat,JD(U),"43,451","22,086",Damodar Rawat,JD(U),"76,972",Rajendra Prasad,RJD,"75,293","1,679",,,,,,,,Damodar Rawat,JD(U),NDA,,False,False
243,Chakai,chakai,Jamui,,40,Jamui,Sumit Kumar Singh,JMM,21809,Bijay Kumar Singh,LJP,21621,188,Savitri Devi,RJD,"47,064",Sumit Kumar Singh,IND,"34,951","12,113",Sumit Kumar Singh,IND,"45,548",Savitri Devi,RJD,"44,967",581,,,,,,,,Sumit Kumar Singh,IND,NDA,,False,False
