no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
39,Phulparas,phulparas,Madhubani,,7,Jhanjharpur,Guljar Devi Yadav,JD(U),36113,Virendra Kumar Chaudhary,RJD,23769,12344,Guljar Devi Yadav,JD(U),"64,368",Ram Sundar Yadav,BJP,"50,953","13,415",Sheela Kumari,JD(U),"75,116",Kripanath Pathak,INC,"64,150","10,966",,,,,,,,Sheela Kumari Mandal,JD(U),NDA,,False,True
40,Laukaha,laukaha,Madhubani,,7,Jhanjharpur,Hari Prasad Sah,JD(U),47849,Chitaranjan Prasad Yadav,RJD,30283,17566,Lakshmeshwar Roy,JD(U),"79,971",Pramod Kumar Priyedarshi,BJP,"56,138","23,833",Bharat Bhushan Mandal,RJD,"78,523",Lakshmeshwar Ray,JD(U),"68,446","10,077",,,,,,,,Bharat Bhushan Mandal,RJD,MGB,,False,False
41,Nirmali,nirmali,Supaul,,8,Supaul,Aniruddha Prasad Yadav,JD(U),70150,Vijay Kumar Gupta,INC,24140,46010,Aniruddha Prasad Yadav,JD(U),"79,600",Ram Kumar Roy,BJP,"55,649","23,951",Aniruddha Prasad Yadav,JD(U),"92,439",Yadubansh Kumar Yadav,RJD,"48,517","43,922",,,,,,,,Aniruddha Prasad Yadav,JD(U),NDA,,False,False
42,Pipra,pipra,Supaul,,8,Supaul,Sujata Devi,JD(U),44883,Dinbandhu Yadav,LJP,30197,14686,Yaduvansh Kumar Yadav,RJD,"85,944",Vishwa Mohan Kumar,BJP,"49,575","36,369",Rambilash Kamat,JD(U),"82,388",Vishwa Mohan Kumar,RJD,"63,143","19,245",,,,,,,,Ramvilas Kamat,JD(U),NDA,,False,True
43,Supaul,supaul,Supaul,,8,Supaul,Bijendra Prasad Yadav,JD(U),55179,Ravindra Kumar Raman,RJD,39779,15400,Bijendra Prasad Yadav,JD(U),"82,295",Kishor Kumar,BJP,"44,898","37,397",Bijendra Prasad Yadav,JD(U),"86,174",Minnatullah Rahmani,INC,"58,075","28,099",,,,,,,,Bijendra Prasad Yadav,JD(U),NDA,,False,False
44,Triveniganj,triveniganj-sc,Supaul,SC,8,Supaul,Amla Devi,JD(U),63729,Anant Kumar Bharti,LJP,44706,19023,Veena Bharti,JD(U),"89,869",Anant Kumar Bharti,LJP,"37,469","52,400",Veena Bharti,JD(U),"79,458",Santosh Kumar,RJD,"76,427","3,031",,,,,,,,Veena Bharti,JD(U),NDA,,False,False
45,Chhatapur,chhatapur,Supaul,,8,Supaul,Neeraj Kumar Singh,JD(U),66895,Akeel Ahmad,RJD,43165,23730,Neeraj Kumar Singh,BJP,"75,697",Jahur Alam,RJD,"66,405","9,292",Neeraj Kumar Singh,BJP,"93,755",Vipin Kumar Singh,RJD,"73,120","20,635",,,,,,,,Neeraj Kumar Singh,BJP,NDA,,False,False
46,Narpatganj,narpatganj,Araria,,9,Araria,Devanti Yadav,BJP,61106,Anil Kumar Yadav,RJD,54169,6937,Anil Kumar Yadav,RJD,"90,250",Janardan Yadav,BJP,"64,299","25,951",Jai Prakash Yadav,BJP,"98,397",Anil Kumar Yadav,RJD,"69,787","28,610",,,,,,,,Jai Prakash Yadav,BJP,NDA,,False,False
47,Raniganj,raniganj-sc,Araria,SC,9,Araria,Parmanand Rishideo,BJP,65111,Shanti Devi,RJD,41458,23653,Achmit Rishidev,JD(U),"77,717",Ramjidas Rishidev,BJP,"62,787","14,930",Achmit Rishidev,JD(U),"81,901",Avinash Mangalam,RJD,"79,597","2,304",,,,,,,,Achmit Rishidev,JD(U),NDA,,False,False
48,Forbesganj,forbesganj,Araria,,9,Araria,Padam Parag Roy Venu,BJP,70463,Maya Nand Thakur,LJP,43636,26827,Vidya Sagar Keshri,BJP,"85,929",Krityanand Biswas,RJD,"60,691","25,238",Vidya Sagar Keshri,BJP,"102,212",Zakir Hussain Khan,INC,"82,510","19,702",,,,,,,,Vidya Sagar Keshri,BJP,NDA,,False,False
49,Araria,araria,Araria,,9,Araria,Zakir Hussain Khan,LJP,49532,Narayan Kumar Jha,BJP,31471,18061,Avidur Rahman,INC,"92,667",Ajay Kumar Jha,LJP,"52,623","40,044",Avidur Rahman,INC,"103,054",Shagufta Azim,JD(U),"55,118","47,936",,,,,,,,Avidur Rahman,INC,MGB,,False,False
50,Jokihat,jokihat,Araria,,9,Araria,Sarfaraz Alam,JD(U),44027,Koshar Zia,IND,18697,25330,Sarfaraz Alam,JD(U),"92,890",Ranjeet Yadav,IND,"38,910","53,980",Shahnawaz Alam,AIMIM,"59,596",Sarfaraz Alam,RJD,"52,213","7,383",,,,,,,,Mohammed Shahnawaz Alam,RJD,MGB,Switched from AIMIM to RJD[11],True,True
51,Sikti,sikti,Araria,,9,Araria,Anandi Prasad Yadav,BJP,42076,Vijay Kumar Mandal,LJP,32202,9874,Vijay Kumar Mandal,BJP,"76,995",Shatrughan Prasad Suman,JD(U),"68,889","8,106",Vijay Kumar Mandal,BJP,"84,128",Shatrughan Prasad Suman,RJD,"70,518","13,610",,,,,,,,Vijay Kumar Mandal,BJP,NDA,,False,False
52,Bahadurganj,bahadurganj,Kishanganj,,10,Kishanganj,Md. Tauseef Alam,INC,30551,Mohammad Maswar Alam,JD(U),26752,3799,Md. Tauseef Alam,INC,"53,533",Awadh Bihari Singh,BJP,"39,591","13,942",Mohammad Anzar Nayeemi,AIMIM,"85,855",Lakhan Lal Pandit,VIP,"40,640","45,215",,,,,,,,Mohammad Anzar Nayeemi,RJD,MGB,Switched from AIMIM to RJD[11],True,False
53,Thakurganj,thakurganj,Kishanganj,,10,Kishanganj,Naushad Alam,LJP,36372,Gopal Kumar Agrawal,JD(U),29409,6963,Naushad Alam,JD(U),"74,239",Gopal Kumar Agrawal,LJP,"66,152","8,087",Saud Alam,RJD,"79,909",Gopal Kumar Aggarwal,IND,"56,022","23,887",,,,,,,,Saud Alam,RJD,MGB,,False,False
54,Kishanganj,kishanganj,Kishanganj,,10,Kishanganj,Mohammad Jawed,INC,38867,Sweety Singh,BJP,38603,264,Mohammad Jawed,INC,"66,522",Sweety Singh,BJP,"57,913","8,609",Ijaharul Hussain,INC,"61,078",Sweety Singh,BJP,"59,967","1,381",,,,,,,,Ijaharul Hussain,INC,MGB,,False,False
55,Kochadhaman,kochadhaman,Kishanganj,,10,Kishanganj,Akhtarul Iman,RJD,37376,Mujahid Alam,JD(U),28351,9025,Mujahid Alam,JD(U),"55,929",Akhtarul Iman,AIMIM,"37,086","18,843",Muhammad Izhar Asfi,AIMIM,"79,893",Mujahid Alam,JD(U),"43,750","36,143",,,,,,,,Muhammad Izhar Asfi,RJD,MGB,Switched from AIMIM to RJD[11],True,False
56,Amour,amour,Purnia,,10,Kishanganj,Saba Zafar,BJP,57774,Abdul Jalil Mastan,INC,38946,18828,Abdul Zalil Mastan,INC,"100,135",Saba Zafar,BJP,"48,138","51,997",Akhtarul Iman,AIMIM,"94,459",Saba Zafar,JD(U),"41,944","52,515",,,,,,,,Akhtarul Iman,AIMIM,None,,False,False
57,Baisi,baisi,Purnia,,10,Kishanganj,Santosh Kushwaha,BJP,39939,Nasar Ahamad,INC,30689,9250,Abdus Subhan,RJD,"67,022",Vinod Kumar,IND,"28,282","38,740",Syed Ruknuddin Ahmad,AIMIM,"68,416",Binod Kumar,BJP,"52,043","16,373",,,,,,,,Syed Ruknuddin Ahmad,RJD,MGB,Switched from AIMIM to RJD[11],True,False
58,Kasba,kasba,Purnia,,12,Purnia,Md. Afaque Alam,INC,63025,Pradip Kumar Das,BJP,58570,4455,Md Afaque Alam,INC,"81,633",Pradip Kumar Das,BJP,"79,839","1,794",Md Afaque Alam,INC,"77,410",Pradeep Kumar Das,LJP,"60,132","17,278",,,,,,,,Md Afaque Alam,INC,MGB,,False,False
59,Banmankhi,banmankhi-sc,Purnia,SC,12,Purnia,Krishna Kumar Rishi,BJP,67950,Dharmlal Rishi,RJD,23060,44890,Krishna Kumar Rishi,BJP,"59,053",Sanjiv Kumar Paswan,RJD,"58,345",708,Krishna Kumar Rishi,BJP,"93,594",Upendra Sharma,RJD,"65,851","27,743",,,,,,,,Krishna Kumar Rishi,BJP,NDA,,False,False
60,Rupauli,rupauli,Purnia,,12,Purnia,Bima Bharti,JD(U),64887,Shankar Singh,LJP,27171,37716,Bima Bharti,JD(U),"50,945",Prem Prakash Mandal,BJP,"41,273","9,672",Bima Bharti,JD(U),"64,324",Shankar Singh,LJP,"44,994","19,330",,,,,,,,Bima Bharti,JD(U),NDA,"Switched from JD(U) to RJD.
Shankar Singh		IND		None	Elected on 13 July 2024 in By-election 2024",False,False
61,Dhamdaha,dhamdaha,Purnia,,12,Purnia,Leshi Singh,JD(U),64323,Irshad Ahmad Khan,INC,19626,44697,Leshi Singh,JD(U),"75,400",Shiv Shankar Thakur,RLSP,"45,583","29,817",Leshi Singh,JD(U),"97,057",Dilip Kumar Yadav,RJD,"63,463","33,594",,,,,,,,Leshi Singh,JD(U),NDA,,False,False
62,Purnia,purnia,Purnia,,12,Purnia,Raj Kishore Kesri,BJP,54605,Ram Charitra Yadav,INC,39006,15599,Vijay Kumar Khemka,BJP,"92,020",Indu Sinha,INC,"59,205","32,815",Vijay Kumar Khemka,BJP,"97,757",Indu Sinha,INC,"65,603","32,154",,,,,,,,Vijay Kumar Khemka,BJP,NDA,,False,False
63,Katihar,katihar,Katihar,,11,Katihar,Tarkishore Prasad,BJP,58718,Ram Prakash Mahto,RJD,38111,20607,Tarkishore Prasad,BJP,"66,048",Bijay Singh,JD(U),"51,154","14,894",Tarkishore Prasad,BJP,"82,669",Ram Prakash Mahto,RJD,"72,150","10,519",,,,,,,,Tarkishore Prasad,BJP,NDA,,False,False
64,Kadwa,kadwa,Katihar,,11,Katihar,Bhola Ray,BJP,38225,Himraj Singh,NCP,19858,18367,Shakeel Ahmad Khan,INC,"56,141",Chander Bhushan Thakur,BJP,"50,342","5,799",Shakeel Ahmad Khan,INC,"71,267",Chandra Bhushan Thakur,LJP,"38,865","32,402",,,,,,,,Shakeel Ahmad Khan,INC,MGB,,False,False
65,Balrampur,balrampur,Katihar,,11,Katihar,Dulal Chandra Goswami,IND,48136,Mahbub Alam,CPI(ML)L,45432,2704,Mahbub Alam,CPI(ML)L,"62,513",Barun Kumar Jha,BJP,"42,094","20,419",Mahbub Alam,CPI(ML)L,"104,489",Barun Kumar Jha,VIP,"50,892","53,597",,,,,,,,Mahbub Alam,CPI(ML)L,MGB,,False,False
